Codigo_Pro|Nombre|Marca|Descripcion|Moneda|Precio|Precio_Valido_Hasta|Url_producto|Url_Imagen|Almacen|Cantidad|Fecha|Categoria|Ciudad
13376|arroz diana x 25 und x 500 g cu|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana.|COP|48890|2023-10-23T22:03:52Z|https://www.tiendasjumbo.co/arroz-diana-x-25-und-x-500-g-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186291/7702511000342.jpg?v=1755116388|Cencosud - Colombia|25 und  500 g c/u|2022-11-17|ARROZ|Tunja
13397|arroz diana x 10 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|41290|2023-10-27T22:06:09Z|https://www.tiendasjumbo.co/arroz-diana-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186325/7702511000205.jpg?v=1755116805|Cencosud - Colombia|10 kg|2022-11-17|ARROZ|Tunja
22018|arroz vitarroz plus supremo x 10 kg|SUPREMO|Arroz Supremo Premium es símbolo de la excelencia del arroz Colombiano, llevalo a tu casa con tan solo un click en tiendasjumbo.co|COP|44290|2023-10-14T22:05:43Z|https://www.tiendasjumbo.co/arroz-vitarroz-plus-supremo-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192008/7701024000276-1.jpg?v=1755126007|Cencosud - Colombia|10 kg|2022-11-17|ARROZ|Tunja
13396|arroz diana x 5 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|20690|2023-10-27T22:06:09Z|https://www.tiendasjumbo.co/arroz-diana-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186323/7702511000045.jpg?v=1755129311|Cencosud - Colombia|5 kg|2022-11-17|ARROZ|Tunja
111865|arroz cuisine&ampco blanco x10000 g|CUISINE &amp CO NBE MP|Arroz cuisine&ampco blanco x10000g|COP|37490|2023-08-28T22:30:36Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x10000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213565/7703616303888.jpg?v=1755118444|Cencosud - Colombia|10 kg|2022-11-17|ARROZ|Tunja
13395|arroz diana x 3 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|12490|2023-10-27T22:03:27Z|https://www.tiendasjumbo.co/arroz-diana-x-3-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186321/7702511000038.jpg?v=1755124659|Cencosud - Colombia|3 kg|2022-11-17|ARROZ|Tunja
13381|arroz diana x 1 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|4200|2023-10-27T22:03:29Z|https://www.tiendasjumbo.co/arroz-diana-x-1-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186299/7702511000021.jpg?v=1755109850|Cencosud - Colombia|1 kg|2022-11-17|ARROZ|Tunja
22006|arroz supremo x 5 kg|SUPREMO|Arroz Supremo contiene una mezcla de vitaminas y minerales que contribuyen a la nutrición de tu familia.Contribuye al crecimiento y desarrollo del cuerpo y, ayuda a fortalecer el sistema inmunológico.Contribuye al buen funcionamiento del sistema inmunológico.|COP|22590|2023-10-14T22:12:10Z|https://www.tiendasjumbo.co/arroz-supremo-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191981/7701024000047-1.jpg?v=1755127338|Cencosud - Colombia|5 kg|2022-11-17|ARROZ|Tunja
13389|arroz roa x 10 kg|ROA|arroz descascarado al cual se le ha eliminado totalmente por elaboracion el germen y el salvado con adicion de vitamina A y acido folico|COP|44590|2023-08-29T22:01:46Z|https://www.tiendasjumbo.co/arroz-roa-x-10kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186308/7702552000172.jpg?v=1755095815|Cencosud - Colombia|10 kg|2022-11-17|ARROZ|Tunja
40865|arroz máxima x25 und x500 g cu|MAXIMA MP|Prepara tus platillos favoritos o acompaña tus recetas con este arroz Maxima que ha sido seleccionado para llevar a tu mesa lo mejor.|COP|42590|2023-08-28T22:22:26Z|https://www.tiendasjumbo.co/arroz-maxima-x-25-und-x-500-g-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/194728/7703616164359-1.jpg?v=1755128107|Cencosud - Colombia|25 und 500 g c/u|2022-11-17|ARROZ|Tunja
