Codigo_Pro|Nombre|Marca|Descripcion|Moneda|Precio|Precio_Valido_Hasta|Url_producto|Url_Imagen|Almacen|Cantidad|Fecha|Categoria
22018|arroz vitarroz plus supremo x 10 kg|SUPREMO|Arroz Supremo Premium es símbolo de la excelencia del arroz Colombiano, llevalo a tu casa con tan solo un click en tiendasjumbo.co|COP|33217|2023-10-14T22:12:59Z|https://www.tiendasjumbo.co/arroz-vitarroz-plus-supremo-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192008/7701024000276-1.jpg?v=1752636621|Cencosud - Colombia|10 kg|2022-10-19|ARROZ
13376|arroz diana x 25 und x 500 g cu|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana.|COP|35992|2023-09-04T22:15:13Z|https://www.tiendasjumbo.co/arroz-diana-x-25-und-x-500-g-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186291/7702511000342.jpg?v=1752636620|Cencosud - Colombia|25 und  500 g c/u|2022-10-19|ARROZ
111865|arroz cuisine&amp;co blanco x10000 g|CUISINE &amp; CO NBE MP|Arroz cuisine&amp;co blanco x10000g|COP|28117|2023-08-28T22:30:36Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x10000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213565/7703616303888.jpg?v=1752636553|Cencosud - Colombia|10 kg|2022-10-19|ARROZ
13397|arroz diana x 10 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|38890|2023-10-16T22:03:57Z|https://www.tiendasjumbo.co/arroz-diana-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186325/7702511000205.jpg?v=1752635811|Cencosud - Colombia|10 kg|2022-10-19|ARROZ
13396|arroz diana x 5 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|19490|2023-08-28T22:22:13Z|https://www.tiendasjumbo.co/arroz-diana-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186323/7702511000045.jpg?v=1752636179|Cencosud - Colombia|5 kg|2022-10-19|ARROZ
22006|arroz supremo x 5 kg|SUPREMO|Arroz Supremo contiene una mezcla de vitaminas y minerales que contribuyen a la nutrición de tu familia.Contribuye al crecimiento y desarrollo del cuerpo y, ayuda a fortalecer el sistema inmunológico.Contribuye al buen funcionamiento del sistema inmunológico.|COP|16942|2023-10-14T22:12:49Z|https://www.tiendasjumbo.co/arroz-supremo-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191981/7701024000047-1.jpg?v=1752636692|Cencosud - Colombia|5 kg|2022-10-19|ARROZ
13395|arroz diana x 3 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|11690|2023-08-28T22:27:27Z|https://www.tiendasjumbo.co/arroz-diana-x-3-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186321/7702511000038.jpg?v=1752634728|Cencosud - Colombia|3 kg|2022-10-19|ARROZ
13381|arroz diana x 1 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|2992|2023-08-28T22:30:17Z|https://www.tiendasjumbo.co/arroz-diana-x-1-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186299/7702511000021.jpg?v=1752636620|Cencosud - Colombia|1 kg|2022-10-19|ARROZ
111864|arroz cuisine&amp;co blanco x5000 g|CUISINE &amp; CO NBE MP|Arroz cuisine&amp;co blanco x5000g|COP|14092|2023-08-28T22:08:00Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x5000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213564/7703616275024.jpg?v=1752636555|Cencosud - Colombia|5 kg|2022-10-19|ARROZ
13389|arroz roa x 10 kg|ROA|arroz descascarado al cual se le ha eliminado totalmente por elaboracion el germen y el salvado con adicion de vitamina A y acido folico|COP|33442|2023-08-29T22:01:46Z|https://www.tiendasjumbo.co/arroz-roa-x-10kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186308/7702552000172.jpg?v=1752635889|Cencosud - Colombia|10 kg|2022-10-19|ARROZ
